Ca_mM,HCO3_mM,pH,chitosan_pct,rate_mol_per_L_s,temperature_C,replicate
10.0,20.0,8.5,1.0,0.0148,25.0,1
10.0,20.0,8.5,1.0,0.0152,25.0,2
10.0,20.0,8.5,1.0,0.0149,25.0,3
20.0,20.0,8.5,1.0,0.0281,25.0,1
20.0,20.0,8.5,1.0,0.0279,25.0,2
20.0,20.0,8.5,1.0,0.0285,25.0,3
40.0,20.0,8.5,1.0,0.0522,25.0,1
40.0,20.0,8.5,1.0,0.0518,25.0,2
40.0,20.0,8.5,1.0,0.0525,25.0,3
20.0,20.0,8.5,3.0,0.0451,25.0,1
20.0,20.0,8.5,3.0,0.0448,25.0,2
20.0,20.0,8.5,3.0,0.0453,25.0,3
20.0,20.0,8.5,5.0,0.0682,25.0,1
20.0,20.0,8.5,5.0,0.0678,25.0,2
20.0,20.0,8.5,5.0,0.0685,25.0,3
20.0,20.0,7.5,3.0,0.0121,25.0,1
20.0,20.0,7.5,3.0,0.0119,25.0,2
20.0,20.0,7.5,3.0,0.0123,25.0,3
20.0,20.0,9.0,3.0,0.0718,25.0,1
20.0,20.0,9.0,3.0,0.0722,25.0,2
20.0,20.0,9.0,3.0,0.0720,25.0,3
30.0,30.0,8.5,3.0,0.0895,40.0,1
30.0,30.0,8.5,3.0,0.0902,40.0,2
50.0,30.0,8.8,4.0,0.1425,40.0,1
50.0,30.0,8.8,4.0,0.1418,40.0,2
